civilite,prenom,nom,societe,site,departement,service,fonction,manager-prenom,manager-nom,""nom de pc"",""marque pc"",""date de naissance"",""telephone fixe"",""telephone portable""
m.,kylian,martinez,pharmgreen,paris,ou_servcom,ou_servachat,"responsable achat client",pierre,david,pa19149,dell,26/08/1988,0151530426,0696228844
m.,mehdi,benkacem,pharmgreen,paris,ou_servcom,ou_servachat,acheteur,kylian,martinez,pa19151,dell,10/10/1984,0122536980,0789452310
mme,mina,nguyen,pharmgreen,paris,ou_servcom,ou_servachat,acheteur,kylian,martinez,pa19156,dell,03/01/1981,0133205490,0600112233
m.,nikolai,ivanov,pharmgreen,paris,ou_servcom,ou_servachat,acheteur,kylian,martinez,pa19153,dell,26/05/1977,0135114568,0722334455
mme,tara,murphy,pharmgreen,paris,ou_servcom,ou_servachat,acheteur,kylian,martinez,pa19152,dell,15/12/1996,0169452736,0698765432
m.,arjun,patel,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79821,dell,21/04/1996,0142387006,0712345678
mme,aya,kobayashi,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79818,dell,23/03/1991,0123906243,0677889900
m.,jules,girard,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa39395,dell,25/01/1985,0163132039,0644556677
mme,julie,"francois d'assise",pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79817,dell,23/09/1994,0136982369,0710203040
mme,leila,amrani,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79820,dell,17/12/1999,0139856399,0699887766
m.,omar,el-masri,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79823,dell,14/09/1996,0156245626,0709876543
m.,sven,andersson,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79819,dell,12/07/2003,0125743260,0733221100
mme,zara,nasri,pharmgreen,paris,ou_servcom,ou_servclient,agent,kylian,martinez,pa79822,dell,17/07/2001,0168513999,0623456789
m.,pierre,david,pharmgreen,paris,ou_servcom,-,"directeur commercial",camille,martin,pa90233,dell,12/05/1997,0106664984,0765432109
mme,celia,"da silva",pharmgreen,paris,ou_servrecru,-,"agent rh",christophe,leroux,pa66766,hp,31/07/1986,0498537902,0634567890
m.,christophe,leroux,pharmgreen,paris,ou_servrecru,-,"responsable recrutement",camille,martin,pa20618,hp,10/05/1992,0163902409,0718273645
mme,melanie,carpentier,pharmgreen,paris,ou_servrecru,-,"agent rh",christophe,leroux,pa31784,hp,09/08/1983,0183765728,0601234567
